stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\gabri\source\repos\MyProject\x64\Debug\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   0.07852] added dtor for sub_bitmap 000001926D3F7760, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.07863] added dtor for sub_bitmap 000001926D3F7F20, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.07890] added dtor for sub_bitmap 000001926D3F7B40, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.07905] added dtor for sub_bitmap 000001926D3F7D30, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.07917] added dtor for sub_bitmap 000001926D3F8EA0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.07926] added dtor for sub_bitmap 000001926D3F84F0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.07935] added dtor for sub_bitmap 000001926D3F9280, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.07968] added dtor for sub_bitmap 000001926D3F88D0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.07989] added dtor for sub_bitmap 000001926D3F7570, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.08010] added dtor for sub_bitmap 000001926D3FD030, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.08164] added dtor for sub_bitmap 000001926D3FD7F0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.08225] added dtor for sub_bitmap 000001926D3FB8F0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.08256] added dtor for sub_bitmap 000001926D3FBCD0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.08269] added dtor for sub_bitmap 000001926D3FAF40, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.08277] added dtor for sub_bitmap 000001926D3FD9E0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.08290] added dtor for sub_bitmap 000001926D3FB510, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.08305] added dtor for sub_bitmap 000001926D3FDBD0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.08315] added dtor for sub_bitmap 000001926D3FA970, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.08324] added dtor for sub_bitmap 000001926D3FCE40, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.08333] added dtor for sub_bitmap 000001926D3FAD50, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.08345] added dtor for sub_bitmap 000001926D3FE1A0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.08375] added dtor for sub_bitmap 000001926D3FBEC0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.08480] added dtor for sub_bitmap 000001926D3FA590, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.08550] added dtor for sub_bitmap 000001926D3FD220, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.08587] added dtor for sub_bitmap 000001926D3FC2A0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.08612] added dtor for sub_bitmap 000001926D3FB130, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.08758] added dtor for sub_bitmap 000001926D3FA780, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.09055] added dtor for sub_bitmap 000001926D3FAB60, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.09087] added dtor for sub_bitmap 000001926D3FD410, func 00007FFE47831190
