stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\gabri\source\repos\MyProject\x64\Debug\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   0.19027] added dtor for sub_bitmap 0000024A658D0AB0, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19033] added dtor for sub_bitmap 0000024A658D02F0, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19038] added dtor for sub_bitmap 0000024A658D08C0, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19044] added dtor for sub_bitmap 0000024A658D06D0, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19050] added dtor for sub_bitmap 0000024A658D0CA0, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19058] added dtor for sub_bitmap 0000024A658D04E0, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19065] added dtor for sub_bitmap 0000024A658D0E90, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19072] added dtor for sub_bitmap 0000024A658D1460, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19078] added dtor for sub_bitmap 0000024A658D1080, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19085] added dtor for sub_bitmap 0000024A658D1270, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19091] added dtor for sub_bitmap 0000024A658D1650, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19096] added dtor for sub_bitmap 0000024A658D1840, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19104] added dtor for sub_bitmap 0000024A658D1A30, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19112] added dtor for sub_bitmap 0000024A658D1C20, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19118] added dtor for sub_bitmap 0000024A658D1E10, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19125] added dtor for sub_bitmap 0000024A658D0100, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19133] added dtor for sub_bitmap 0000024A658D3090, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19139] added dtor for sub_bitmap 0000024A658D2EA0, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19147] added dtor for sub_bitmap 0000024A658D26E0, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19154] added dtor for sub_bitmap 0000024A658D3850, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19161] added dtor for sub_bitmap 0000024A658D2CB0, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19167] added dtor for sub_bitmap 0000024A658D3E20, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19173] added dtor for sub_bitmap 0000024A658D3470, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19180] added dtor for sub_bitmap 0000024A658D3A40, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19186] added dtor for sub_bitmap 0000024A658D28D0, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19194] added dtor for sub_bitmap 0000024A658D3280, func 00007FF948C91190
